customer_id,company_name,contact_name,email,country,indUnited Statestry,company_size,initial_plan,signup_date,acquisition_channel
CUST00001,Miller-Curry,Kevin Bowman,davidjohnson@martinez.com,United States,Design,Small (2-10),Free,8/17/2022,Organic Search
CUST00002,Braun-Nicholson,Alejandro Little,lancehanson@smith.com,Australia,Finance,Solo,Free,6/28/2022,Direct
CUST00003,Jones Group,Nicole Rivera,steven07@cox.com,Australia,E-commerce,Medium (11-50),Pro,2/24/2022,Paid Ads
CUST00004,Perez-Duncan,Taylor Phelps,terryrobert@roberts.com,Australia,Consulting,Large (51-200),Business,7/8/2024,Referral
CUST00005,Robinson Group,Ronald Lewis,kathycarroll@anderson.com,United States,Marketing,Enterprise (200+),Pro,7/24/2023,Referral
CUST00006,"Hale, Jackson and Williams",Joseph Turner,lowerymariah@gordon.com,Germany,Legal,Large (51-200),Free,12/6/2023,Social Media
CUST00007,Woodward Group,Deanna Robinson,jacoblawrence@beltran-henderson.com,Australia,Education,Large (51-200),Business,6/11/2022,Partner
CUST00008,"Gordon, Morton and Grant",Jean Lynch,sblackwell@roberts.com,United States,Marketing,Small (2-10),Free,5/23/2022,Paid Ads
CUST00009,Lopez and Sons,Shannon Nichols,millerbradley@andrade.com,United Kingdom,Consulting,Small (2-10),Business,7/26/2022,Referral
CUST00010,Jackson and Sons,Jose Robbins,robinsonjessica@martinez-garcia.com,United States,HR & Recruiting,Small (2-10),Business,12/29/2023,Organic Search
CUST00011,"Harris, Carter and Norman",Benjamin Parker,psalazar@bowman-frazier.info,Australia,Healthcare,Small (2-10),Pro,12/17/2022,Partner
CUST00012,"Cochran, Greene and Thompson",Jessica Beard,bakercharles@ingram.biz,India,Finance,Large (51-200),Business,3/26/2023,Referral
CUST00013,Williams-Diaz,Natalie Hernandez,xwarren@schultz.biz,United States,Design,Small (2-10),Business,4/1/2024,Referral
CUST00014,Miller Ltd,Angela Fernandez,aaron30@gibson.org,Germany,Media,Small (2-10),Business,3/12/2023,Paid Ads
CUST00015,"Jimenez, Adams and Parker",Michael Wilson,kayla96@hernandez.org,United States,Design,Medium (11-50),Pro,6/27/2023,Direct
CUST00016,"Simmons, Baker and Owens",Thomas Smith,caldwellchad@harvey.com,Brazil,Consulting,Small (2-10),Free,5/27/2024,Direct
CUST00017,"Powell, Pratt and Cole",Amanda Parker,rsanchez@zamora.org,United States,HR & Recruiting,Solo,Free,10/7/2024,Paid Ads
CUST00018,Johnson-Chen,Jacob Watson,leontoni@matthews.com,Australia,Media,Small (2-10),Pro,5/14/2024,Direct
CUST00019,"Griffith, Guerrero and Whitney",Rhonda Cantrell,kimfrederick@barton.info,Other,Design,Large (51-200),Free,5/30/2023,Direct
CUST00020,"Mckenzie, Weber and Graham",Daniel Anderson,howardknight@michael.com,Singapore,Consulting,Small (2-10),Free,7/1/2023,Social Media
CUST00021,Campbell LLC,Christina Bell,lydia54@joseph.com,Pakistan,Legal,Large (51-200),Business,1/7/2022,Direct
CUST00022,Parker-Brown,SUnited Statesn Ponce,iadams@henderson.com,France,Real Estate,Small (2-10),Pro,8/6/2022,Paid Ads
CUST00023,Griffin-Grimes,Jordan Washington,kimerin@willis.com,United Kingdom,Legal,Solo,Business,11/10/2022,Organic Search
CUST00024,Jones Group,Christopher Murphy,cristina02@garcia-miller.com,Canada,Healthcare,,Free,10/26/2023,Paid Ads
CUST00025,Chang Group,Haley Jones,brendarobinson@fitzpatrick-riggs.com,United States,Design,Medium (11-50),Free,4/29/2022,Social Media
CUST00026,Reeves Inc,Stanley Alvarado,markkline@glass.org,Other,HR & Recruiting,Medium (11-50),Free,5/22/2022,Social Media
CUST00027,Moreno-Lopez,Brandon Kim,gparsons@murray.net,United States,Finance,Large (51-200),Business,12/5/2022,Partner
CUST00028,Jennings Group,Jill Clark,earmstrong@smith-brown.info,India,Education,Small (2-10),Pro,2/16/2023,Social Media
CUST00029,"Davis, Taylor and Coleman",Darlene Williams,ANDREWSCOTT@GONZALEZ.INFO,United States,Real Estate,Small (2-10),Free,7/13/2024,Direct
CUST00030,"Tucker, Sosa and Carter",Tiffany Cole,stephanie54@gonzales-clay.org,Australia,Technology,,Pro,4/17/2023,Paid Ads
CUST00031,Atkins-Smith,Angela Owen,jobell@rogers.com,Brazil,Finance,Large (51-200),Pro,5/19/2022,Social Media
CUST00032,"Rivera, Soto and Lopez",Catherine Thomas,ann26@clark-watson.com,Australia,Real Estate,Medium (11-50),Business,3/15/2023,Social Media
CUST00033,Johnson and Sons,Cassie Peters,alfredlynn@davis-ford.org,Singapore,Marketing,Large (51-200),Business,5/13/2023,Referral
CUST00034,"Webb, Stokes and Carpenter",Devin Pierce,osmith@turner.com,United Kingdom,HR & Recruiting,Large (51-200),Business,5/17/2024,Organic Search
